0.058,29,43,H3,S4
0.058,30,47,H4,S8
0.059,16,45,D3,S6
0.059,18,36,D5,HT
0.059,21,41,D8,S2
0.059,25,29,DQ,H3
0.059,3,19,C3,D6
0.059,3,31,C3,H5
0.059,3,32,C3,H6
0.059,3,38,C3,HQ
0.059,6,17,C6,D4
0.059,7,43,C7,S4
0.059,10,31,CT,H5
0.059,15,31,D2,H5
0.059,15,38,D2,HQ
0.059,15,39,D2,HK
0.059,28,29,H2,H3
0.059,30,41,H4,S2
0.059,38,42,HQ,S3
0.06,16,37,D3,HJ
0.06,16,44,D3,S5
0.06,17,35,D4,H9
0.06,18,34,D5,H8
0.06,22,43,D9,S4
0.06,25,42,DQ,S3
0.06,2,24,C2,DJ
0.06,2,25,C2,DQ
0.06,2,30,C2,H4
0.06,3,45,C3,S6
0.06,4,47,C4,S8
0.06,5,42,C5,S3
0.06,5,43,C5,S4
0.06,8,17,C8,D4
0.06,10,28,CT,H2
0.06,12,15,CQ,D2
0.06,15,51,D2,SQ
0.06,29,50,H3,SJ
0.061,17,31,D4,H5
0.061,18,48,D5,S9
0.061,19,43,D6,S4
0.061,4,16,C4,D3
0.061,5,35,C5,H9
0.061,11,29,CJ,H3
0.061,29,46,H3,S7
0.061,39,41,HK,S2
0.062,16,43,D3,S4
0.062,16,51,D3,SQ
0.062,17,47,D4,S8
0.062,18,51,D5,SQ
0.062,20,42,D7,S3
0.062,24,29,DJ,H3
0.062,24,43,DJ,S4
0.062,4,44,C4,S5
0.062,5,16,C5,D3
0.062,5,25,C5,DQ
0.062,8,44,C8,S5
0.062,11,43,CJ,S4
0.062,15,17,D2,D4
0.062,35,44,H9,S5
0.063,21,44,D8,S5
0.063,24,42,DJ,S3
0.063,2,37,C2,HJ
0.063,2,51,C2,SQ
0.063,4,36,C4,HT
0.063,5,24,C5,DJ
0.063,5,36,C5,HT
0.063,10,18,CT,D5
0.063,12,43,CQ,S4
0.063,35,42,H9,S3
0.063,38,41,HQ,S2
0.064,23,30,DT,H4
0.064,25,43,DQ,S4
0.064,9,18,C9,D5
0.064,10,29,CT,H3
0.064,13,15,CK,D2
0.065,17,37,D4,HJ
0.065,17,50,D4,SJ
0.065,19,35,D6,H9
0.065,19,50,D6,SJ
0.065,21,31,D8,H5
0.065,24,28,DJ,H2
0.065,24,44,DJ,S5
0.065,24,45,DJ,S6
0.065,3,26,C3,DK
0.065,3,49,C3,ST
0.065,4,32,C4,H6
0.065,5,51,C5,SQ
0.065,6,42,C6,S3
0.065,12,28,CQ,H2
0.065,30,50,H4,SJ
0.066,17,36,D4,HT
0.066,18,35,D5,H9
0.066,19,49,D6,ST
0.066,20,51,D7,SQ
0.066,23,44,DT,S5
0.066,24,30,DJ,H4
0.066,5,17,C5,D4
0.066,8,43,C8,S4
0.066,11,15,CJ,D2
0.066,31,47,H5,S8
0.066,37,44,HJ,S5
0.067,16,30,D3,H4
0.067,18,42,D5,S3
0.067,22,30,D9,H4
0.067,22,42,D9,S3
0.067,26,28,DK,H2
0.067,4,37,C4,HJ
0.067,5,49,C5,ST
0.067,6,35,C6,H9
0.067,6,36,C6,HT
0.067,6,48,C6,S9
0.067,32,51,H6,SQ
0.067,36,44,HT,S5
0.068,22,45,D9,S6
0.068,25,30,DQ,H4
0.068,4,48,C4,S9
0.068,5,21,C5,D8
0.068,5,48,C5,S9
0.068,5,50,C5,SJ
0.068,6,23,C6,DT
0.068,7,17,C7,D4
0.068,7,31,C7,H5
0.068,28,52,H2,SK
0.068,29,45,H3,S6
0.068,29,51,H3,SQ
0.068,30,46,H4,S7
0.068,32,50,H6,SJ
0.069,18,37,D5,HJ
0.069,18,43,D5,S4
0.069,19,37,D6,HJ
0.069,21,45,D8,S6
0.069,25,31,DQ,H5
0.069,2,3,C2,C3
0.069,3,18,C3,D5
0.069,3,24,C3,DJ
0.069,3,25,C3,DQ
0.069,5,47,C5,S8
0.069,6,16,C6,D3
0.069,7,16,C7,D3
0.069,8,18,C8,D5
0.069,9,32,C9,H6
0.069,10,19,CT,D6
0.069,30,44,H4,S5
0.07,17,49,D4,ST
0.07,19,29,D6,H3
0.07,23,45,DT,S6
0.07,25,41,DQ,S2
0.07,4,24,C4,DJ
0.07,4,45,C4,S6
0.07,5,23,C5,DT
0.07,6,29,C6,H3
0.07,11,45,CJ,S6
0.07,12,29,CQ,H3
0.07,33,44,H7,S5
0.071,20,43,D7,S4
0.071,1,15,CA,D2
0.071,2,38,C2,HQ
0.071,4,38,C4,HQ
0.071,5,38,C5,HQ
0.071,6,30,C6,H4
0.071,9,44,C9,S5
0.071,11,44,CJ,S5
0.071,15,50,D2,SJ
0.071,29,34,H3,H8
0.071,41,43,S2,S4
0.072,16,31,D3,H5
0.072,16,38,D3,HQ
0.072,16,39,D3,HK
0.072,17,29,D4,H3
0.072,20,30,D7,H4
0.072,25,44,DQ,S5
0.072,2,6,C2,C6
0.072,4,10,C4,CT
0.072,10,43,CT,S4
0.072,11,17,CJ,D4
0.072,12,42,CQ,S3
0.072,27,41,HA,S2
0.072,30,45,H4,S6
0.072,36,45,HT,S6
0.073,18,47,D5,S8
0.073,19,36,D6,HT
0.073,23,32,DT,H6
0.073,3,37,C3,HJ
0.073,4,20,C4,D7
0.073,4,51,C4,SQ
0.073,6,43,C6,S4
0.073,6,49,C6,ST
0.073,13,29,CK,H3
0.074,25,46,DQ,S7
0.074,2,9,C2,C9
0.074,2,26,C2,DK
0.074,4,18,C4,D5
0.074,4,25,C4,DQ
0.074,5,30,C5,H4
0.074,5,37,C5,HJ
0.074,6,34,C6,H8
0.074,11,18,CJ,D5
0.074,12,17,CQ,D4
0.074,12,44,CQ,S5
0.074,15,16,D2,D3
0.074,33,45,H7,S6
0.075,17,32,D4,H6
0.075,18,30,D5,H4
0.075,4,31,C4,H5
0.075,4,46,C4,S7
0.075,6,24,C6,DJ
0.075,6,33,C6,H7
0.075,7,23,C7,DT
0.075,9,19,C9,D6
0.075,29,52,H3,SK
0.075,30,34,H4,H8
0.076,17,38,D4,HQ
0.076,18,50,D5,SJ
0.076,21,32,D8,H6
0.076,26,41,DK,S2
0.076,26,42,DK,S3
0.076,4,19,C4,D6
0.076,7,44,C7,S5
0.076,9,31,C9,H5
0.076,9,45,C9,S6
0.076,11,31,CJ,H5
0.076,28,35,H2,H9
0.076,33,51,H7,SQ
0.076,38,43,HQ,S4
0.076,41,47,S2,S8
0.077,17,39,D4,HK
0.077,17,52,D4,SK
0.077,18,45,D5,S6
0.077,21,39,D8,HK
0.077,24,31,DJ,H5
0.077,4,33,C4,H7
0.077,6,22,C6,D9
0.077,8,31,C8,H5
0.077,11,32,CJ,H6
0.077,12,16,CQ,D3
0.077,13,16,CK,D3
0.077,28,51,H2,SQ
0.077,33,43,H7,S4
0.078,17,46,D4,S7
0.078,2,8,C2,C8
0.078,4,39,C4,HK
0.078,4,50,C4,SJ
0.078,5,19,C5,D6
0.078,6,21,C6,D8
0.078,10,45,CT,S6
0.078,33,50,H7,SJ
0.079,16,21,D3,D8
0.079,18,46,D5,S7
0.079,24,32,DJ,H6
0.079,2,4,C2,C4
0.079,4,26,C4,DK
0.079,5,34,C5,H8
0.079,5,46,C5,S7
0.079,7,18,C7,D5
0.079,7,19,C7,D6
0.079,10,32,CT,H6
0.079,31,51,H5,SQ
0.079,32,47,H6,S8
0.08,16,52,D3,SK
0.08,1,28,CA,H2
0.08,2,39,C2,HK
0.08,3,51,C3,SQ
0.08,8,38,C8,HQ
0.08,9,47,C9,S8
0.08,12,32,CQ,H6
0.08,34,45,H8,S6
0.081,16,27,D3,HA
0.081,19,44,D6,S5
0.081,19,51,D6,SQ
0.081,20,49,D7,ST
0.081,25,45,DQ,S6
0.081,26,29,DK,H3
0.081,3,6,C3,C6
0.081,7,37,C7,HJ
0.081,11,46,CJ,S7
0.081,12,30,CQ,H4
0.081,13,42,CK,S3
